  UID     PID
    0       1
    0       2
    0       3
    0       4
    0       6
    0       8
    0       9
    0      10
    0      11
    0      12
    0      14
    0      15
    0      16
    0      17
    0      18
    0      19
    0      20
    0      21
    0      22
    0      23
    0      24
    0      70
    0      71
    0      72
    0      73
    0      74
    0      75
    0      76
    0      77
    0      78
    0      80
    0      81
    0      83
    0      84
    0      85
    0      86
    0      87
    0      88
    0      89
    0      91
    0      93
    0     102
    0     105
    0     118
    0     152
    0     197
    0     240
    0     241
    0     276
    0     314
    0     337
    0     367
    0     500
    0     501
    0     502
    0     503
    0     504
    0     515
    0     517
    0     518
  102     536
  100     593
  101     595
    0     630
    0     633
  103     635
    0     642
    0     643
    0     645
  104     646
    0     650
    0     652
    1     655
    0     660
    0     663
    0     667
    0     692
    0     698
    0     717
    0    1006
    0   57353
    0   57356
    0  110439
    0  110492
 1007  189243
 1007  189249
    0  288957
 1007  391159
 1007  391169
 1007  391208
 1007  391232
    0  397357
 1007  397440
 1007  397441
 1007  397494
 1007  397505
    0  397526
 1007  397659
 1007  397660
 1007  397679
    0  397719
 1007  400671
 1007  400949
 1007  400951
    0  416083
    0  433241
    0  433455
 1007  433669
 1007  433670
 1007  433766
